Frame,Object ID,Class,Traffic Status,Movement Direction,Entry/Exit Status
74,1,Vehicle,Moderate Traffic,Right,In Zone
74,2,Vehicle,Moderate Traffic,Left,Entered
74,3,Vehicle,Moderate Traffic,Left,In Zone
74,4,Vehicle,Moderate Traffic,Left,In Zone
74,6,Vehicle,Moderate Traffic,Left,In Zone
74,7,Vehicle,Moderate Traffic,Left,Entered
75,1,Vehicle,Moderate Traffic,Right,In Zone
75,2,Vehicle,Moderate Traffic,Left,Entered
75,3,Vehicle,Moderate Traffic,Left,In Zone
75,4,Vehicle,Moderate Traffic,Left,In Zone
75,6,Vehicle,Moderate Traffic,Right,In Zone
75,7,Vehicle,Moderate Traffic,Left,Entered
76,1,Vehicle,Moderate Traffic,Right,In Zone
76,2,Vehicle,Moderate Traffic,Left,Entered
76,3,Vehicle,Moderate Traffic,Left,In Zone
76,4,Vehicle,Moderate Traffic,Left,In Zone
76,6,Vehicle,Moderate Traffic,Right,In Zone
76,7,Vehicle,Moderate Traffic,Left,Entered
